reaction;J
'HMR_4081';0
'HMR_4083';0
'HMR_4085';0
'HMR_4116';0
'HMR_4122';0
'HMR_4128';1
'HMR_4131';1,76E+09
'HMR_4133';1
'HMR_4137';0
'HMR_4139';0
'HMR_4141';0
'HMR_4145';0
'HMR_4147';0
'HMR_4158';0
'HMR_4171';0.339716568792236
'HMR_4190';1
'HMR_4199';1
'HMR_4201';0
'HMR_4204';0
'HMR_4210';2,62E+08
'HMR_4262';0
'HMR_4269';0
'HMR_4283';0
'HMR_4300';0
'HMR_4301';8,98E+06
'HMR_4304';0
'HMR_4335';0
'HMR_4350';1
'HMR_4352';0
'HMR_4354';0
'HMR_4355';0
'HMR_4363';0.261941961974920
'HMR_4365';0
'HMR_4368';0
'HMR_4370';1
'HMR_4371';0
'HMR_4373';0.158832771268009
'HMR_4375';0
'HMR_4377';0
'HMR_4381';0.979846638748786
'HMR_4388';0
'HMR_4391';0
'HMR_4394';0.171681137605787
'HMR_4396';0
'HMR_4398';7,69E+07
'HMR_4410';0
'HMR_4418';0.0963615687758666
'HMR_4420';0
'HMR_4421';0
'HMR_4452';0
'HMR_4456';0
'HMR_4476';0
'HMR_4480';0
'HMR_4484';0
'HMR_4485';0
'HMR_4512';0
'HMR_4514';0
'HMR_4521';1
'HMR_4573';0.532465468403333
'HMR_4575';0
'HMR_4577';0
'HMR_4579';0
'HMR_4584';0.0861158340546363
'HMR_4595';4,74E+07
'HMR_4614';0
'HMR_4621';0
'HMR_4623';0
'HMR_4628';0
'HMR_4631';0
'HMR_4633';0
'HMR_4637';0
'HMR_4644';0
'HMR_4651';0
'HMR_4652';0
'HMR_4655';0
'HMR_4656';0
'HMR_4658';0
'HMR_4670';0
'HMR_4675';0
'HMR_4680';0
'HMR_4685';0
'HMR_4687';0
'HMR_4695';0
'HMR_4710';7,69E+07
'HMR_4760';0
'HMR_4765';0
'HMR_4767';0
'HMR_4775';1
'HMR_4837';1
'HMR_4843';0
'HMR_4845';0
'HMR_4847';1,37E+08
'HMR_4848';0.0963615687758666
'HMR_4852';0
'HMR_4854';0
'HMR_4856';0
'HMR_4882';0.142417303292144
'HMR_4883';0
'HMR_4885';2,01E+07
'HMR_4888';0
'HMR_4894';0
'HMR_4896';0.397864229252925
'HMR_4898';0
'HMR_4926';0
'HMR_4947';0.0653549128238905
'HMR_4948';0
'HMR_4957';0
'HMR_4958';1
'HMR_4969';0
'HMR_4980';0
'HMR_4990';0
'HMR_4992';0.0861158340546363
'HMR_5006';0
'HMR_5031';0
'HMR_5032';3,45E+06
'HMR_5033';0
'HMR_5037';0
'HMR_5043';0.283809546417288
'HMR_5070';0
'HMR_5078';0
'HMR_5082';0
'HMR_5088';0
'HMR_5089';0
'HMR_5091';3,22E+07
'HMR_5092';0
'HMR_5127';0
'HMR_5130';0
'HMR_5131';0
'HMR_5132';0
'HMR_5133';0
'HMR_5134';0
'HMR_5135';0
'HMR_5136';0
'HMR_5137';0
'HMR_5138';0
'HMR_5139';0
'HMR_5140';0
'HMR_5141';0
'HMR_5142';0
'HMR_5143';0
'HMR_5145';0
'HMR_5146';0
'HMR_5147';0
'HMR_5148';0
'HMR_5149';0
'HMR_5150';0
'HMR_5296';0
'HMR_5297';0
'HMR_5303';0.197803568301667
