reaction;J
'HMR_4137';0
'HMR_4139';0
'HMR_4141';0
'HMR_4145';0
'HMR_4147';1.87204028360619e-07
'HMR_4158';0
'HMR_4171';0.232728370523103
'HMR_4190';0.224517857997706
'HMR_4201';0.735596072123834
'HMR_4204';0
'HMR_4210';0.230255010795248
'HMR_4262';0
'HMR_4269';0
'HMR_4300';0
'HMR_4304';0
'HMR_4335';3.01350453130935e-07
'HMR_4350';1
'HMR_4352';0.610391608947706
'HMR_4355';0.467834522655234
'HMR_4363';0.289475962232213
'HMR_4365';0.705755642213153
'HMR_4368';0.705758890127154
'HMR_4371';0
'HMR_4373';0.705760956987957
'HMR_4375';0.445027316858240
'HMR_4381';0.228697553872227
'HMR_4388';1.14181038803178e-13
'HMR_4391';0.568533305504881
'HMR_4396';0.513914675039176
'HMR_4398';4.64948554783638e-07
'HMR_4404';0.710056217784247
'HMR_4410';0
'HMR_4418';0.338084006452825
'HMR_4420';0
'HMR_4421';0
'HMR_4452';0
'HMR_4456';0
'HMR_4476';0.438628096684378
'HMR_4480';0
'HMR_4484';0
'HMR_4485';0
'HMR_4501';0.710056217784247
'HMR_4512';0
'HMR_4514';0
'HMR_4565';0.527718430532274
'HMR_4568';0.467834522655234
'HMR_4573';0.232728370523106
'HMR_4575';0
'HMR_4577';0
'HMR_4579';2.35540316425098e-07
'HMR_4584';1
'HMR_4595';0.537695815204445
'HMR_4614';0
'HMR_4621';0
'HMR_4623';0
'HMR_4628';0
'HMR_4631';0
'HMR_4633';0
'HMR_4637';0
'HMR_4644';0
'HMR_4651';0
'HMR_4652';1.87204028360619e-07
'HMR_4655';0
'HMR_4656';3.01350453130935e-07
'HMR_4658';0.504682341949621
'HMR_4670';0
'HMR_4680';0
'HMR_4695';0
'HMR_4710';4.64948554783638e-07
'HMR_4760';0
'HMR_4765';0
'HMR_4767';0
'HMR_4843';1.87204028159464e-07
'HMR_4847';1.01115391744768e-07
'HMR_4848';0.338084006452825
'HMR_4852';0
'HMR_4854';1.87204028561773e-07
'HMR_4856';0
'HMR_4882';2.52925842856348e-07
'HMR_4883';0
'HMR_4885';0.638007723301650
'HMR_4888';2.77709035899055e-07
'HMR_4894';0
'HMR_4896';0.857563133218172
'HMR_4898';2.58527982720050e-07
'HMR_4926';0
'HMR_4947';2.63618875226773e-07
'HMR_4948';4.64948554783638e-07
'HMR_4957';1.87204028159464e-07
'HMR_4958';1
'HMR_4969';0
'HMR_4980';0
'HMR_4990';0.689350051472177
'HMR_4992';1
'HMR_5006';3.01350453130935e-07
'HMR_5031';0
'HMR_5032';1.01115304133810e-07
'HMR_5033';0
'HMR_5037';0
'HMR_5043';0
'HMR_5070';0
'HMR_5078';0
'HMR_5082';0
'HMR_5088';0
'HMR_5089';0
'HMR_5091';2.00552903931582e-10
'HMR_5092';0
'HMR_5127';0.662446104340153
'HMR_5130';0
'HMR_5131';0
'HMR_5132';0
'HMR_5133';0
'HMR_5134';0
'HMR_5135';0
'HMR_5136';0
'HMR_5137';0
'HMR_5138';0
'HMR_5139';0
'HMR_5140';0
'HMR_5141';0
'HMR_5142';0
'HMR_5143';0
'HMR_5145';0
'HMR_5146';0
'HMR_5147';0
'HMR_5148';0
'HMR_5149';0
'HMR_5150';0
'HMR_5296';0.735596072123834
'HMR_5297';0
'HMR_5303';0.173620468473873
'HMR_5395';0.924579650202878
'HMR_5396';0.924579650202879
'HMR_5397';0.924579650202880
'HMR_5398';0.924579650202880
'HMR_5399';0.924579650202879
'HMR_5400';0.924579650202879
'HMR_5401';0.924579650202879
'HMR_5436';6.10076409226365e-08
'HMR_5462';0
'HMR_5907';0
'HMR_6049';0
'HMR_6060';0
'HMR_6068';0.0528191723248649
'HMR_6071';0.0602954981680526
'HMR_6108';0
'HMR_6250';0
'HMR_6287';1.87204028360619e-07
'HMR_6294';0
'HMR_6332';0
'HMR_6334';0
'HMR_6381';0
'HMR_6424';0
'HMR_6426';0
'HMR_6428';0
'HMR_6431';0
'HMR_6432';0
'HMR_6433';0
'HMR_6434';0
'HMR_6435';0
'HMR_6436';0
'HMR_6438';0
'HMR_6439';0
'HMR_6441';0
'HMR_6443';0
'HMR_6446';0
'HMR_6447';0
'HMR_6448';0
'HMR_6450';0
'HMR_6451';0
'HMR_6453';0
'HMR_6454';0
'HMR_6492';0
'HMR_6507';0
'HMR_6509';0
'HMR_6512';0
'HMR_6612';0
'HMR_6616';1
'HMR_6627';0
'HMR_6628';0
'HMR_6629';0
'HMR_6632';0
'HMR_6634';0
'HMR_6638';0
'HMR_6641';0
'HMR_6642';0
'HMR_6644';0
'HMR_6648';0
'HMR_6649';0
'HMR_6650';0
'HMR_6651';0
'HMR_6654';0
'HMR_6655';0
'HMR_6656';0
'HMR_6657';0
'HMR_6658';0
'HMR_6659';0
'HMR_6660';0
'HMR_6661';0
'HMR_6662';0
'HMR_6664';0
'HMR_6665';0
'HMR_6668';0
'HMR_6669';0
'HMR_6673';0
'HMR_6675';0
'HMR_6677';0
'HMR_6678';0
'HMR_6682';0
'HMR_6687';0
'HMR_6690';0
'HMR_6691';0
'HMR_6692';0
'HMR_6693';0
'HMR_6700';0
'HMR_6701';0
'HMR_6702';0
'HMR_6703';0
'HMR_6725';0
'HMR_6916';2.14416293926943e-07
'HMR_6918';2.58527982150362e-07
'HMR_6921';0
'HMR_7144';1.01115331668671e-07
'HMR_7160';0
'HMR_7161';0
'HMR_7638';1.54927349347263e-07
'HMR_7663';0
'HMR_7735';0
'HMR_7778';0
'HMR_7780';0
'HMR_7800';2.23859701280180e-08
'HMR_7815';0
'HMR_7867';0
'HMR_7898';0.338084006452826
'HMR_7905';1.01115331668671e-07
'HMR_8009';0
'HMR_8010';0
'HMR_8132';0.508010410938916
'HMR_8144';0.504682341949621
'HMR_8408';0.814125432099103
'HMR_8410';2.58527982358707e-07
'HMR_8443';1.01115314146478e-07
'HMR_8475';0
'HMR_8477';0
'HMR_8486';0.0945283112078636
'HMR_8488';0.898660315811283
'HMR_8489';0.338084006452826
'HMR_8612';0
'HMR_8613';0
'HMR_8614';0
'HMR_8615';0
'HMR_8616';0
'HMR_8617';0
'HMR_8639';0
'HMR_8676';0
'HMR_8698';0
'HMR_8702';0
'HMR_8722';0
'HMR_8767';0.924579650202872
'HMR_8891';0
'HMR_9034';0.924579650202879
'HMR_9038';0
'HMR_9039';0
'HMR_9042';0
'HMR_9043';0
'HMR_9044';0
'HMR_9045';0
'HMR_9046';0
'HMR_9048';0.857563133218172
'HMR_9051';0
'HMR_9055';0
'HMR_9062';0
'HMR_9063';0
'HMR_9064';0
'HMR_9067';3.48180490819069e-11
'HMR_9068';0
'HMR_9069';0
'HMR_9072';0.954196285584179
'HMR_9078';0
'HMR_9085';0
'HMR_9103';0.689350051472177
'HMR_9107';0
'HMR_9108';0.221863522600147
'HMR_9110';0
'HMR_9133';0.291477967674542
'HMR_9135';1.14181074602521e-13
'HMR_9141';1.01115331668671e-07
'HMR_9146';9.09737387794057e-07
'HMR_9147';0
'HMR_9152';0
'HMR_9154';0
'HMR_9155';0.338084006452826
'HMR_9159';0
'HMR_9167';0
'HMR_9173';0.898660315811283
'HMR_9183';1.01115314146478e-07
