reaction;jaccardindex;KolmogorovSmirnow;KolmogorovSmirenow_pvalue;T - test_pvalue;Anova_pvalue;Wilcoxon_Mann_Whitney_pvalue;Mean;Std;Mode;Median;skew;kurt;Ttest_H;Ttest_pvalue;minFlux_lungmetastasis;minFlux_brainmetastasis;maxFlux_lungmetastasis;maxFlux_brainmetastasis
Acyl-CoA hydrolysis;;;;;;;;;;;;;;;;;;;
HMR_4394;5,429166667;-0.0529;0.14573;1,99E-16;1,54E-14;3,45E-18;120.1959__107.7672;100.3072__99.52525;0__0;93.9035__81.9088;1.1764__2.1022;4.32951__10.8472;1;1,99E-16;413.564;359.669;1.769.987;1.516.145
HMR_4521;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_4685;0.67249;-0.1646;0.14496;2,53E-68;4,14E-69;1,23E-67;124.5619__106.2796;73.338__68.9687;0__0;119.1931__97.16308;0.28031__0.59231;2.2295__2.7966;1;2,53E-68;658.794;513.703;1.790.383;1.517.347
HMR_4687;0.67249;-0.1646;0.14496;2,53E-68;4,14E-69;1,23E-67;124.5619__106.2796;73.338__68.9687;0__0;119.1931__97.16308;0.28031__0.59231;2.2295__2.7966;1;2,53E-68;658.794;513.703;1.790.383;1.517.347
HMR_4775;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_4837;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_5042;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_5423;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_5435;0.56496;-0.2084;0.14496;3,49E-142;3,01E-153;2,00E-140;146.27__109.0371;105.6129__89.00949;0__0;125.3641__85.17227;0.7383__0.99092;2.9651__3.3792;1;3,49E-142;604.653;377.127;2.161.086;1.612.511
HMR_5470;0.23758;-0.4405;0.14505;0;0;0;-233.0463__-367.6707;147.6548__171.4071;25.56994__-841.5965;-220.418__-371.508;-0.71349__-0.010313;3.9352__2.3425;1;0;-3.268.574;-492.303;-1.203.217;-2.384.804
HMR_6001;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_6011;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_6367;0.80539;-0.0774;0.14496;4,08E-27;2,49E-27;1,19E-23;-172.9254__-205.1348;197.013__193.5396;0__-1000;-169.9675__-196.7239;-0.061683__-0.26412;3.2802__3.3893;1;4,08E-27;-3.044.322;-3.289.072;-40.169;-718.849
HMR_6410;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_6412;1;6,349305556;0.14915;0;0;0;0__1.1501e-15;0__6.5066e-16;0__0;0__1.1242e-15;none;none;1;0;0;6,72E-12;0;1,65E-11
HMR_6426;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6428;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6432;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6433;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6434;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6435;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6436;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6441;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6443;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6447;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6448;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6450;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6451;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6453;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_6492;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.00165__-0.001451;0.00053898__0.00044759;-0.00050436__-0.0032168;-0.0016321__-0.0014298;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.001922;-0.0017151;-0.0013298;-0.0011569
HMR_6526;0.73684;0,768055556;0.14496;2,62E-51;4,93E-47;5,28E-41;86.51698__102.0782;68.7353__77.0671;0__0;71.0886__86.0204;1.1264__0.90745;4.1964__3.3747;1;2,62E-51;328.768;396.529;1.240.842;1.474.618
HMR_7282;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_7745;0.55881;1,54375;1,013194444;2,88E-161;9,74E-174;7,13E-136;-210.1246__-165.3469;123.3366__95.41429;0__0;-190.7828__-151.5618;-0.75836__-0.8035;3.2863__3.9529;1;2,88E-161;-2.831.318;-224.36;-117.966;-927.377
HMR_7746;0.89174;-0.0553;0.14778;5,19E-08;3,30E-08;1,84E-04;83.0384__76.8209;65.6024__60.4732;0__0;69.2405__63.4379;1.0597__1.0509;3.97__4.0306;1;5,19E-08;315.777;285.971;1.185.286;1.117.735
HMR_7747;0.53793;-0.2062;0.14599;3,12E-163;1,05E-170;2,41E-124;127.0863__88.52602;110.0502__79.02015;0__0;95.7__67.8586;1.2283__1.6512;4.1465__7.6604;1;3,12E-163;430.006;293.546;1.821.226;1.251.789
HMR_7748;0.56047;1,374305556;0.14522;4,79E-148;1,58E-152;2,58E-149;162.9321__257.0066;253.0808__241.4811;0__0;153.666__252.2767;0.15506__-0.0689;2.7987__2.7532;1;4,79E-148;-11.791;821.338;3.340.787;437.734
HMR_7749;0.39772;-0.2713;0.14556;1,66E-291;6.4703e-320;1,63E-298;47.1925__-91.6597;257.2938__246.7641;0__0;45.4696__-82.9035;-0.12424__-0.019203;3.1486__2.8003;1;1,66E-291;-112.561;-2.633.589;2.171.767;785.556
HMR_7771;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_7786;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_7792;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8360;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8425;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8464;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8519;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8569;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8571;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8573;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8584;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8589;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8652;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_8761;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_9074;1;4,238194444;0.14607;0;0;0;6.6071e-11__4.7924e-10;1.6158e-10__4.7061e-10;0__0;5.9291e-11__4.3132e-10;-0.24684__0.28071;4.0619__2.9435;1;0;-2,72E-07;1,72E-06;1,68E-06;7,38E-06
HMR_9297;0.80539;-0.0774;0.14496;4,08E-27;2,49E-27;1,19E-23;-172.9254__-205.1348;197.013__193.5396;0__-1000;-169.9675__-196.7239;-0.061683__-0.26412;3.2802__3.3893;1;4,08E-27;-3.044.322;-3.289.072;-40.169;-718.849
HMR_9362;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_9389;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_9625;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_9811;2,670138889;-0.3318;0.14496;0;0;0;297.0194__139.0045;272.4384__277.2418;500__500;304.2258__144.0897;-0.17039__-0.085019;2.8978__3.0779;1;0;1.136.489;-414.398;4.851.914;3.161.369
HPDCACRNt;1;-0.043;0.15078;0.033021;0.033009;1,72E-04;8.3923e-13__0;3.9361e-11__0;0__0;8.6106e-13__0;none;none;1;0.033021;-2,07E-07;0;2,75E-07;0
RE2426C;0;-0.9999;0.14505;0;0;0;0__-223.7802;0__157.0686;0__-999.7503;0__-198.4557;none;none;1;0;0;-322.232;0;-966.715
RE3073X;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
SUBERCROT;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
Var1;1;0;1;none;1;1;4999.5__4999.5;2886.8957__2886.8957;0__0;4999.5__4999.5;0__0;1.8__1.8;none;none;2499.05.00;2499.05.00;7499.05.00;7499.05.00
biomass_human;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;39.8546__35.0473;13.0189__10.8114;12.1825__77.7001;39.4223__34.5362;1.979__1.0374;17.5475__9.3512;1;2,31E-172;321.198;279.456;46.424;414.271
r1431;0.70908;0,936111111;0.14496;1,26E-38;8,21E-39;4,49E-65;158.1428__182.3379;127.2736__121.5502;0__0;129.9514__166.0309;1.2994__0.86551;5.0013__3.8386;1;1,26E-38;611.776;874.057;2.235.213;2.531.394
x1A25DHVITD3te;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.0008226__0.00072338;0.00026871__0.00022315;0.00025145__-1.705e-14;0.00081368__0.00071283;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.00066295;0.0005768;0.00095819;0.00085505
x2PGtr;0.58341;1,281944444;0.14496;1,02E-123;1,38E-133;9,17E-128;54.37114__126.7354;215.5661__190.3408;-500__0;52.79624__121.7576;-0.14315__-0.070869;3.3592__3.4157;1;1,02E-123;-795.575;0.61919;1.944.301;2.526.438
x3DHLCAS;0.43603;-0.2832;0.14496;9,28E-289;5,12E-306;1,05E-286;255.7757__191.476;129.1965__107.1036;-5.3305e-09__0;242.6548__176.3671;0.70188__0.72955;3.8719__3.4779;1;9,28E-289;1.602.246;110.182;3.357.477;258.578
x3DHLCAt;0.43603;1,966666667;0.14496;9,28E-289;5,12E-306;1,05E-286;-255.7757__-191.476;129.1965__107.1036;-899.5889__0;-242.6548__-176.3671;-0.70188__-0.72955;3.8719__3.4779;1;9,28E-289;-3.357.477;-258.578;-1.602.246;-110.182
