reaction;jaccardindex;KolmogorovSmirnow;KolmogorovSmirenow_pvalue;T - test_pvalue;Anova_pvalue;Wilcoxon_Mann_Whitney_pvalue;Mean;Std;Mode;Median;skew;kurt;Ttest_H;Ttest_pvalue;minFlux_lungmetastasis;minFlux_brainmetastasis;maxFlux_lungmetastasis;maxFlux_brainmetastasis
Acyl-CoA hydrolysis;;;;;;;;;;;;;;;;;;;
HMR_5141;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;19.3791__17.0416;6.3304__5.257;5.92372__37.7814;19.169__16.7931;1.979__1.0374;17.5475__9.3512;1;2,31E-172;156.181;135.885;225.735;201.438
HMR_5142;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;15.2948__13.45;4.9962__4.149;4.67525__29.8187;15.129__13.2538;1.979__1.0374;17.5475__9.3512;1;2,31E-172;123.265;107.246;17.816;158.983
HMR_5143;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;4.7225__4.1528;1.5426__1.2811;1.4435__9.2069;4.6713__4.0923;1.979__1.0374;17.5475__9.3512;1;2,31E-172;3.806;33.113;55.009;49.088
HMR_5145;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;7.8282__6.884;2.5572__2.1236;2.3929__15.2619;7.7433__6.7836;1.979__1.0374;17.5475__9.3512;1;2,31E-172;6.309;54.891;91.186;81.371
HMR_5146;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;10.8489__9.54032;3.5439__2.943;3.31624__21.1509;10.7313__9.40118;1.979__1.0374;17.5475__9.3512;1;2,31E-172;87.434;76.072;126.372;11.277
HMR_5147;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;14.061__12.365;4.5932__3.8143;4.29811__27.4133;13.9085__12.1847;1.979__1.0374;17.5475__9.3512;1;2,31E-172;113.321;98.595;163.788;146.158
HMR_5148;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;11.3807__10.008;3.7176__3.0873;3.4788__22.1878;11.2573__9.86202;1.979__1.0374;17.5475__9.3512;1;2,31E-172;9.172;79.801;132.567;118.298
HMR_5149;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;2.0847__1.8332;0.68098__0.56552;0.63724__4.0643;2.0621__1.8065;1.979__1.0374;17.5475__9.3512;1;2,31E-172;16.801;14.618;24.283;21.669
HMR_5150;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;14.1887__12.4772;4.6349__3.849;4.3371__-2.9408e-10;14.0348__12.2953;1.979__1.0374;17.5475__9.3512;1;2,31E-172;11.435;9.949;165.275;147.485
Arginine and proline metabolism;;;;;;;;;;;;;;;;;;;
HMR_3956;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;31.8025__27.9665;10.3886__8.62709;9.72124__62.0019;31.4576__27.5586;1.979__1.0374;17.5475__9.3512;1;2,31E-172;256.304;222.996;370.447;330.573
HMR_4190;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
Artificial reactions;;;;;;;;;;;;;;;;;;;
HMR_10063;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;8.8158__7.7525;2.8798__2.3915;2.69478__17.1873;8.7202__7.6394;1.979__1.0374;17.5475__9.3512;1;2,31E-172;71.049;61.816;10.269;91.637
HMR_10062;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;212.7237__187.065;69.4882__57.7057;65.0243__-4.40901e-09;210.4167__184.3368;1.979__1.0374;17.5475__9.3512;1;2,31E-172;1.714.393;1.491.599;247.788;2.211.169
HMR_10064;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;19.2697__16.9454;6.2946__5.2273;5.89026__37.568;19.0607__16.6982;1.979__1.0374;17.5475__9.3512;1;2,31E-172;155.299;135.117;22.446;20.03
HMR_10065;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.047825__0.042057;0.015623__0.012974;0.014619__0.09324;0.047307__0.041443;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.038544;0.033535;0.055709;0.049712
Bile acid biosynthesis;;;;;;;;;;;;;;;;;;;
HMR_1832;0.30552;-0.3649;0.14505;0;0;0;-312.1611__-423.3844;159.4419__164.1353;0__-201.3545;-299.7542__-428.1413;-0.5471__0.085095;3.3281__2.4759;1;0;-4.120.184;-5.436.983;-196.84;-3.060.457
HMR_1834;0.30552;0,253472222;0.14496;0;0;0;312.1611__423.3844;159.4419__164.1353;0__201.3545;299.7542__428.1413;0.5471__-0.085095;3.3281__2.4759;1;0;196.84;3.060.457;4.120.184;5.436.983
HMR_1835;0.30552;0,253472222;0.14496;0;0;0;312.1611__423.3844;159.4419__164.1353;0__201.3545;299.7542__428.1413;0.5471__-0.085095;3.3281__2.4759;1;0;196.84;3.060.457;4.120.184;5.436.983
HMR_1841;0.97756;0.008;0.14496;0.11777;0.13059;0.27263;188.1861__183.9141;193.7685__205.6695;151.8396__-534.2553;174.844__197.3849;0.23231__-0.1174;2.8334__2.8931;0;0.11777;434.202;393.299;3.231.588;3.254.914
HMR_1844;0.63026;-0.183;0.14496;2,87E-107;1,17E-102;1,36E-89;109.854__82.74525;97.9477__74.1282;0__0;86.8937__63.2496;2.1226__1.7112;11.7985__8.35331;1;2,87E-107;388.623;261.865;1.541.597;1.195.187
Biotin metabolism;;;;;;;;;;;;;;;;;;;
HMR_7663;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__0.0032168;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
Carnitine shuttle (cytosolic);;;;;;;;;;;;;;;;;;;
HMR_0159;0.44318;0,215972222;0.14496;4,34E-277;3,86E-270;6,98E-282;-394.3925__-291.6202;208.5097__195.7094;-1000__-1000;-410.0983__-290.7555;0.20808__0.13885;2.9831__4.2605;1;4,34E-277;-5.391.286;-4.232.332;-2.552.999;-1.602.023
HMR_2591;0.73992;0,829166667;0.14496;5.21e-39;5,29E-35;1,95E-36;0.713__0.75722;0.23291__0.25096;0.21795__-1.4683e-11;0.70527__0.74111;1.979__1.2489;17.5475__9.94849;1;5.21e-39;0.57462;0.59409;0.83053;0.89416
HMR_2594;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.0098999__-0.0087058;0.0032339__0.0026855;-0.0030261__-0.03599;-0.0097925__-0.0085788;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.011532;-0.01029;-0.0079786;-0.0069417
HMR_2636;1;-0.6017;0.14522;0;0;0;-1.0414e-15__-6.8916e-15;5.3037e-15__4.0913e-15;0__0;-1.6243e-15__-6.6961e-15;1.1114__-0.20691;6.3401__2.7564;1;0;-4,36E-11;-9,61E-11;1,62E-11;-4,14E-11
HMR_2742;1;0,254861111;0.14727;0.0001665;0.00016464;7,70E-04;-5.1199e-14__7.4289e-14;3.3292e-12__6.2474e-14;0__0;-1.2662e-14__7.0184e-14;0.60968__0.27355;6.2861__3.9484;1;0.0001665;-1,83E-08;3,92E-10;1,55E-08;1,07E-09
Carnitine shuttle (mitochondrial);;;;;;;;;;;;;;;;;;;
HMR_0161;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.35155__0.30915;0.11484__0.095365;0.10746__-7.529e-12;0.34774__0.30464;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.28332;1,711805556;2,84375;0.36542
HMR_2593;0.73992;-0.1194;0.14496;5.21e-39;5,29E-35;1,95E-36;-0.713__-0.75722;0.23291__0.25096;-0.21795__-3.4863;-0.70527__-0.74111;-1.979__-1.2489;17.5475__9.94849;1;5.21e-39;-0.83053;-0.89416;-0.57462;-0.59409
Cysteine and methionine metabolism;;;;;;;;;;;;;;;;;;;
r0193;0.59811;1,168055556;0.14496;6,08E-113;6,24E-113;1,01E-115;-335.0436__-281.0426;170.5273__159.3076;-500__-500;-336.993__-281.1763;0.20507__-0.0083008;4.5807__3.1417;1;6,08E-113;-4.457.797;-3.895.735;-2.269.783;-173.931
Exchange/demand reactions;;;;;;;;;;;;;;;;;;;
HMR_9809;0.44379;-0.3106;0.14496;1,28E-275;1,22E-270;2,09E-281;394.744__292.0596;208.5261__195.7306;1000__-879.8571;410.4999__291.2295;-0.20779__-0.13853;2.9836__4.2607;1;1,28E-275;2.556.587;1.606.311;5.394.265;423.765
HMR_9815;1;0;1;none;none;none;0__0;0__0;0__0;0__0;none;none;none;none;0;0;0;0
HMR_9034;0.56614;1,336111111;0.14496;2,49E-138;4,75E-144;1,91E-139;-254.8267__-206.4934;140.7489__120.9872;-802.3088__-919.6617;-248.1589__-197.5572;-0.38811__-0.65028;3.216__4.0567;1;2,49E-138;-3.425.355;-2.803.474;-1.540.052;-1.193.705
HMR_9038;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-4.8963__-4.3058;1.5994__1.3282;-1.4967__-9.5459;-4.8432__-4.243;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-57.034;-50.895;-39.461;-34.333
HMR_9039;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-9.5989__-8.4411;3.1356__2.6039;-2.93416__-18.714;-9.4948__-8.318;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-111.812;-99.777;-7.736;-67.307
HMR_9042;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-4.7938__-4.2155;1.5659__1.3004;-1.4653__-9.3459;-4.7418__-4.1541;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-55.839;-49.829;-38.634;-33.613
HMR_9043;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-8.1192__-7.1399;2.6522__2.2025;-17.1175__-15.8291;-8.0312__-7.0357;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-94.575;-84.396;-65.435;-56.931
HMR_9044;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-196;-12.1284__-10.6655;3.9618__3.2901;-25.5699__-44.0915;-11.9968__-10.5099;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-141.276;-126.069;-97.746;-85.043
HMR_9045;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-2.104__-1.8502;0.68728__0.57074;-4.4357__-4.1019;-2.0811__-1.8232;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-24.508;-2.187;-16.956;-14.753
HMR_9046;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-14.3582__-12.6264;4.6903__3.895;-30.2711__-52.198;-14.2025__-12.4422;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-16.725;-149.248;-115.717;-100.679
HMR_9048;4,470833333;-0.1756;0.14513;2.33e-101;1,37E-96;1,43E-100;-222.6078__-287.4538;214.3191__213.961;-1000__-1000;-205.7799__-286.0088;-0.25627__-0.1176;3.1595__2.8906;1;2.33e-101;-3.643.545;-4.330.663;-750.303;-1.338.493
HMR_9051;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-6.6919e-05__-5.8847e-05;2.186e-05__1.8153e-05;-0.00014108__-0.00024328;-6.6193e-05__-5.7989e-05;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-7,79E-01;-6,96E-01;-5,39E-01;-4,69E-01
HMR_9055;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;6.6919e-05__5.8847e-05;2.186e-05__1.8153e-05;2.0455e-05__-1.387e-15;6.6193e-05__5.7989e-05;1.979__1.0374;17.5475__9.3512;1;2,31E-172;5,39E-01;4,69E-01;7,79E-01;6,96E-01
HMR_9062;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-8.0003__-7.0353;2.6134__2.1702;-2.44548__-15.5972;-7.9135__-6.9327;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-9.319;-83.159;-64.476;-56.097
HMR_9063;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-12.0297__-10.5787;3.9296__3.2633;-25.3619__-43.7328;-11.8992__-10.4244;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-140.126;-125.044;-9.695;-84.351
HMR_9064;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-6.0816__-5.348;1.9866__1.6498;-1.85899__-11.8566;-6.0156__-5.27;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-70.841;-63.215;-49.013;-42.644
HMR_9067;0.23598;-0.4424;0.14496;0;0;0;-230.9406__-365.819;147.6774__171.3913;0__0;-218.3437__-369.3483;-0.71282__-0.010182;3.9369__2.3431;1;0;-3.246.204;-490.564;-1.182.245;-2.367.571
HMR_9068;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-10.9857__-9.66063;3.5886__2.9801;-3.35806__-21.4177;-10.8666__-9.51973;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-127.966;-114.192;-88.537;-77.031
HMR_9069;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-14.6044__-12.8429;4.7707__3.9618;-4.46421__-28.4727;-14.4461__-12.6556;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-170.118;-151.807;-117.701;-102.405
HMR_9072;0.72958;0,744444444;0.14513;4,00E-64;2,30E-67;6,73E-49;515.3869__575.3845;253.3361__218.4854;1000__1000;547.5683__592.36;-0.88048__-0.44303;4.2648__2.8056;1;4,00E-64;3.751.796;4.268.938;6.971.299;7.455.776
HMR_9078;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;31.8025__27.9665;10.3886__8.62709;-6.9852e-11__-6.5919e-10;31.4576__27.5586;1.979__1.0374;17.5475__9.3512;1;2,31E-172;256.304;222.996;370.447;330.573
HMR_9085;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.00165__0.001451;0.00053898__0.00044759;0.00050436__-3.4198e-14;0.0016321__0.0014298;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.0013298;0.0011569;0.001922;0.0017151
HMR_9103;0.59811;1,168055556;0.14496;6,08E-113;6,24E-113;1,01E-115;-335.0436__-281.0426;170.5273__159.3076;-500__-500;-336.993__-281.1763;0.20507__-0.0083008;4.5807__3.1417;1;6,08E-113;-4.457.797;-3.895.735;-2.269.783;-173.931
HMR_9107;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.00165__-0.001451;0.00053898__0.00044759;-0.00050436__-0.0032168;-0.0016321__-0.0014298;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.001922;-0.0017151;-0.0013298;-0.0011569
HMR_9108;0.68935;-0.131;0.14496;7,89E-51;1,48E-51;5,27E-61;-141.9239__-169.6152;129.9386__118.4363;-1000__-897.9598;-138.7143__-170.1848;-0.37441__-0.11035;4.9239__3.6143;1;7,89E-51;-220.499;-2.458.241;-573.059;-905.443
HMR_9110;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.00165__-0.001451;0.00053898__0.00044759;-0.00050436__-0.0032168;-0.0016321__-0.0014298;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.001922;-0.0017151;-0.0013298;-0.0011569
HMR_9133;0.84469;-0.0264;0.14513;4,21E-10;7,44E-10;1,79E-10;394.4845__371.3414;226.7106__210.2313;500__1000;402.0379__381.3167;-0.17156__-0.19873;2.6868__3.3412;1;4,21E-10;2.367.297;2.351.073;5.606.528;5.117.152
HMR_9135;0.59157;0,147916667;0.14496;5,98E-155;1,55E-137;5,70E-129;165.9627__214.7805;125.3588__144.3603;-5.4834e-11__9.5525e-18;139.4411__197.5951;0.82826__0.74665;3.1129__3.5217;1;5,98E-155;633.776;990.738;2.451.713;3.103.433
HMR_9141;0.90891;0,321527778;0.14539;0.00037518;0.00019913;9,50E-03;-337.6966__-326.885;200.8435__209.987;-500__-500;-322.3957__-301.8974;-0.42893__-0.50924;2.6987__2.5518;1;0.00037518;-4.759.541;-4.724.522;-1.803.475;-1.545.752

HMR_9147;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.005763__-0.0050678;0.0018825__0.0015633;-0.0017616__-0.011235;-0.0057005__-0.0049939;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.0067129;-0.0059904;-0.0046445;-0.0040409
HMR_9152;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.00165__-0.001451;0.00053898__0.00044759;-0.00050436__-0.0032168;-0.0016321__-0.0014298;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.001922;-0.0017151;-0.0013298;-0.0011569
HMR_9154;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.00165__-0.001451;0.00053898__0.00044759;-0.00050436__-0.0032168;-0.0016321__-0.0014298;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.001922;-0.0017151;-0.0013298;-0.0011569
HMR_9155;0.81453;0,438888889;0.14513;8,56E-27;1,84E-26;4,37E-17;-196.3479__-171.937;159.953__139.8227;0__-500;-154.0032__-137.4213;-1.107__-1.0615;4.0079__3.9311;1;8,56E-27;-2.853.006;-2.549.723;-716.427;-602.258
HMR_9159;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.00165__-0.001451;0.00053898__0.00044759;-0.0034786__-0.0032168;-0.0016321__-0.0014298;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.001922;-0.0017151;-0.0013298;-0.0011569
HMR_9167;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.00165__-0.001451;0.00053898__0.00044759;-0.0034786__-0.0032168;-0.0016321__-0.0014298;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.001922;-0.0017151;-0.0013298;-0.0011569
HMR_9215;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.0024678__-0.0021701;0.00080613__0.00066944;-0.0052028__-0.0089714;-0.002441__-0.0021385;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.0028746;-0.0025652;-0.0019889;-0.0017304
HMR_9235;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-196;-13.472__-11.847;4.4007__3.6545;-56.8049__-26.2648;-13.3259__-11.6742;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-156.926;-140.035;-108.574;-94.464
HMR_9242;0.44034;-0.2832;0.14496;4,87E-269;1,78E-275;2,96E-277;388.1042__285.0393;201.1418__200.3861;499.3825__500;392.6601__274.1307;-0.098268__0.2401;2.8589__2.9055;1;4,87E-269;2.483.443;136.318;5.311.654;4.222.103
HMR_9253;0.40609;2,084027778;0.14522;8.3596e-321;0;0;-342.3039__-202.654;232.7023__245.8112;-1000__-500;-344.3035__-200.1447;0.06526__0.13764;2.6613__3.2726;1;8.3596e-321;-5.103.462;-369.29;-177.164;-372.314
HMR_9254;0.43982;-0.2874;0.14496;0;0;2,43E-306;-180.6638__-350.3175;312.0144__285.009;-1000__-1000;-193.4869__-372.8454;0.25726__0.27225;2.9262__2.5982;1;0;-4.034.362;-561.796;232.158;-146.135
HMR_9262;0.65283;-0.1775;0.14505;1,26E-93;3,85E-97;8,17E-83;-261.0458__-323.7045;190.0976__221.3829;-500__-500;-228.0779__-298.0436;-0.87077__-0.6618;3.4176__2.9197;1;1,26E-93;-3.730.927;-468.354;-109.048;-1.385.269
HMR_9269;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.00165__-0.001451;0.00053898__0.00044759;-0.00050436__-0.0032168;-0.0016321__-0.0014298;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.001922;-0.0017151;-0.0013298;-0.0011569
HMR_9271;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.0004113__-0.00036169;0.00013435__0.00011157;-0.00012572__-0.00080187;-0.00040684__-0.00035641;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.0004791;-0.00042753;-0.00033148;-0.0002884
HMR_9273;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.0004113__0.00036169;0.00013435__0.00011157;0.00012572__0.00080187;0.00040684__0.00035641;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.00033148;0.0002884;0.0004791;0.00042753
HMR_9285;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.97272__-0.85539;0.31775__0.26387;-2.0508__-3.5362;-0.96217__-0.84292;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-11.331;-10.111;-0.78394;-0.68206
HMR_9290;0.80947;0,520138889;0.14505;4,16E-14;5,42E-13;2,13E-15;32.7632__61.0632;259.2211__216.1529;500__500;21.5533__43.0072;0.24665__0.22607;3.3307__3.8018;1;4,16E-14;-1.326.824;-723.971;1.909.625;1.926.655
HMR_9292;0.46895;-0.3018;0.14496;6,28E-246;1,84E-240;1,15E-252;354.1827__255.9643;210.9381__199.0841;-451.9739__0;369.071__256.9769;-0.23657__-0.21174;2.9536__4.5166;1;6,28E-246;2.132.415;1.226.406;501.914;3.911.025
HMR_9348;0.50369;1,731944444;0.14496;2,31E-172;4,67E-170;2,58E-195;-1.8168__-1.5977;0.59349__0.49285;-7.6607__-6.6049;-1.7971__-1.5744;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-21.163;-18.885;-14.642;-12.739
HMR_9351;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2.58e-199;-0.34878__-0.30671;0.11393__0.094614;-0.10661__-1.268;-0.345__-0.30224;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.40627;-0.36254;-0.28109;-0.24456
HMR_9354;0.96723;0,184722222;1,009027778;0.0047035;0.0059374;0.04549;-295.3314__-286.2133;237.4574__231.1502;-1000__-1000;-289.1625__-290.3915;-0.15889__-0.074835;2.6511__2.6407;1;0.0047035;-4.625.026;-4.539.938;-1.183.811;-1.155.197
HMR_9358;0.81453;-0.0636;0.14513;8,56E-27;1,84E-26;4,37E-17;196.3479__171.937;159.953__139.8227;0__500;154.0032__137.4213;1.107__1.0615;4.0079__3.9311;1;8,56E-27;716.427;602.258;2.853.006;2.549.723
HMR_9372;0.26432;-0.4134;0.14496;0;0;0;-80.33361__-112.644;50.7022__40.8339;0__-408.9785;-73.60704__-107.4175;-1.0556__-0.77913;5.1049__4.4026;1;0;-1.087.711;-1.375.402;-433.786;-838.827
HMR_9378;0.50369;1,731944444;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.075152__-0.066087;0.024549__0.020386;-0.31688__-0.27321;-0.074337__-0.065123;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.087539;-0.078117;-0.060567;-0.052696
HMR_9383;0.53155;-0.2928;0.14496;2,21E-230;8,77E-208;1,64E-199;-436.5793__-534.2641;224.4788__214.8539;-500__-500;-426.7863__-540.9293;-0.077212__0.22699;2.2417__2.385;1;2,21E-230;-6.105.826;-7.035.511;-2.707.799;-3.805.434
HMR_9404;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.017303__-0.015216;0.0056523__0.0046939;-0.03648__-0.062904;-0.017116__-0.014994;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.020155;-0.017986;-0.013945;-0.012133
HMR_9406;0.42484;-0.2626;0.14496;4,01E-263;3,82E-296;1,17E-282;368.6713__235.0015;246.0743__255.6064;1000__500;381.6984__247.3039;-0.37919__-0.14324;3.4358__2.5491;1;4,01E-263;2.124.851;535.167;5.343.294;4.167.551
HMR_9418;0.43684;2,011111111;0.14513;2,86E-294;1,25E-291;6,48E-275;500.3472__607.2985;202.4668__202.1909;500__500;501.6722__614.9794;-0.013623__-0.27094;2.4293__2.4692;1;2,86E-294;350.451;463.741;6.468.406;7.695.961
HMR_9421;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-196;13.472__11.847;4.4007__3.6545;-1.61959e-10__26.2648;13.3259__11.6742;1.979__1.0374;17.5475__9.3512;1;2,31E-172;108.574;94.464;156.926;140.035
HMR_9422;0;-0.7016;0.14496;0;0;0;197.0771__112.3647;73.145__40.7884;-6.8222e-11__-3.1717e-16;189.6059__107.152;0.74697__0.77879;5.3784__4.3973;1;0;1.441.723;836.343;2.433.735;1.371.805
HMR_9437;0.73849;0,85;0.14496;4,29E-37;7,11E-37;4,70E-41;454.0145__484.4579;167.2704__157.6424;1000__1000;451.1204__485.0153;0.20992__-0.022209;2.9062__2.6378;1;4,29E-37;333.789;3.714.943;5.664.514;5.977.827
HMR_9440;0.73057;0,961111111;0.14496;1,25E-45;2,42E-45;2,56E-42;-478.1979__-450.0218;130.7254__138.2838;-1000__-1000;-472.5923__-445.789;-0.21817__-0.14326;3.0967__2.788;1;1,25E-45;-564.324;-5.441.543;-3.882.489;-3.509.207
HMR_9450;0.61966;1,247222222;0.14496;1,31E-115;1,04E-120;1.04e-99;-276.9482__-219.6448;184.2555__153.0869;0__0;-248.8705__-197.9123;-0.63632__-0.74339;2.9245__3.2853;1;1,31E-115;-4.002.813;-3.172.324;-1.280.502;-949.821
HMR_9456;0.50229;-0.2441;0.14522;9,75E-217;2,88E-245;2,91E-185;-221.9314__-308.6257;149.4325__204.707;-500__-500;-198.1433__-278.3716;-0.97615__-0.65326;4.5139__2.9227;1;9,75E-217;-311.003;-4.478.543;-1.077.653;-1.401.796
HMR_9463;0.30552;0,253472222;0.14496;0;0;0;312.1611__423.3844;159.4419__164.1353;0__201.3545;299.7542__428.1413;0.5471__-0.085095;3.3281__2.4759;1;0;196.84;3.060.457;4.120.184;5.436.983
HMR_9690;0.90887;-0.0512;0.14496;1,16E-03;2,68E-03;1,88E-03;-137.9968__-147.2756;128.1631__126.8209;113.6102__-395.3395;-122.2853__-132.8866;-0.6342__-0.50507;3.3641__2.601;1;1,16E-03;-2.229.425;-2.338.839;-369.781;-439.803
HMR_9691;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-0.00165__-0.001451;0.00053898__0.00044759;-0.00050436__-0.0032168;-0.0016321__-0.0014298;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-0.001922;-0.0017151;-0.0013298;-0.0011569
HMR_9729;0.50369;1,730555556;0.14496;2,31E-172;4,67E-170;2,58E-195;-16.1889__-14.2362;5.2883__4.3916;-4.94855__-31.5618;-16.0134__-14.0286;-1.979__-1.0374;17.5475__9.3512;1;2,31E-172;-188.574;-168.277;-130.471;-113.515
HMR_10024;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;39.8546__35.0473;13.0189__10.8114;12.1825__77.7001;39.4223__34.5362;1.979__1.0374;17.5475__9.3512;1;2,31E-172;321.198;279.456;46.424;414.271
HMR_10047;0.50369;-0.2492;0.14496;2,31E-172;4,67E-170;2,58E-195;0.54041__0.47523;0.17653__0.1466;0.16519__1.0536;0.53455__0.4683;1.979__1.0374;17.5475__9.3512;1;2,31E-172;0.43553;0.37893;0.62949;0.56173
Fatty acid activation (cytosolic);;;;;;;;;;;;;;;;;;;
HMR_0156;0.44379;-0.3108;0.14513;1,28E-275;1,22E-270;2,08E-281;394.744__292.0596;208.5261__195.7306;1000__1000;410.4999__291.2295;-0.20779__-0.13853;2.9836__4.2607;1;1,28E-275;2.556.587;1.606.311;5.394.265;423.765
